"","latexSymbol1","V2str","latexSymbol1.1","round.V1..digits...3.","latexSymbol1.2","V3str","latexSymbol1.3","V4str","latexSymbol1.4","V5","latexSymbol1.5","round.V6..digits...3.","latexSymbol2"
"1","&","Jan-15","&",0.622,"&","Nov-14","&","Mar-15","&",4,"&",2.475,"\\"
"2","&","Jul-15","&",1.08,"&","Mar-15","&","Dec-15","&",9,"&",8.2,"\\"
"3","&","Jan-16","&",0.553,"&","Dec-15","&","Feb-16","&",2,"&",0.884,"\\"
"4","&","Mar-16","&",0.539,"&","Feb-16","&","Apr-16","&",2,"&",0.539,"\\"
"5","&","Jul-16","&",0.644,"&","Apr-16","&","Nov-16","&",7,"&",2.708,"\\"
"6","&","Dec-16","&",0.809,"&","Nov-16","&","Feb-17","&",3,"&",1.767,"\\"
"7","&","Mar-17","&",0.381,"&","Feb-17","&","Apr-17","&",2,"&",0.564,"\\"
"8","&","Jul-17","&",0.734,"&","Apr-17","&","Oct-17","&",6,"&",3.303,"\\"
"9","&","Jan-18","&",0.859,"&","Oct-17","&","Apr-18","&",6,"&",3.687,"\\"
"10","&","Aug-18","&",0.585,"&","Apr-18","&","Sep-18","&",5,"&",2.624,"\\"
"11","&","Oct-18","&",0.496,"&","Sep-18","&","Nov-18","&",2,"&",1.173,"\\"
"12","&","Dec-18","&",0.774,"&","Nov-18","&","Apr-19","&",5,"&",3.075,"\\"
"13","&","Jul-19","&",0.523,"&","Apr-19","&","Oct-19","&",6,"&",2.814,"\\"
"14","&","Jan-20","&",0.627,"&","Oct-19","&","Apr-20","&",6,"&",3.029,"\\"
"15","&","Jul-20","&",0.652,"&","Apr-20","&","Nov-20","&",7,"&",3.826,"\\"
