,V1,V2,V3,V4,Peak,,Start ,,End ,,Width,,,
1,-11.4752890979779,2,1,4,- ,,,,,,,,,
2,-10.0786584500216,10,4,17,Jul 2015,&,Jan 2015,&,Feb 2016,&,13,&,,\\
3,-11.2239649718334,18,17,19,Mar 2016,&,Feb 2016,&,Apr 2016,&,2,&,,\\
4,-10.2567615780338,22,19,26,Jul 2016,&,Apr 2016,&,Nov 2016,&,7,&,,\\
5,-10.6222686301268,27,26,29,Dec 2016,&,Nov 2016,&,Feb 2017,&,3,&,,\\
6,-10.2536665953923,34,29,38,Jul 2017,&,Feb 2017,&,Nov 2017,&,9,&,,\\
7,-10.5626025823673,40,38,41,Jan 2018,&,Nov 2017,&,Feb 2018,&,3,&,,\\
8,-10.9277048910682,42,41,43,Mar 2018,&,Feb 2018,&,Apr 2018,&,2,&,,\\
9,-10.4204132422222,47,43,50,Aug 2018,&,Apr 2018,&,Nov 2018,&,7,&,,\\
10,-10.5846260171605,51,50,54,Dec 2018,&,Nov 2018,&,Mar 2019,&,4,&,,\\
11,-10.5875079650913,58,54,61,Jul 2019,&,Mar 2019,&,Oct 2019,&,7,&,,\\
12,-10.7633411461298,64,61,67,Jan 2020,&,Oct 2019,&,Apr 2020 ,&,6,&,,\\
13,-10.4022656352449,70,67,75,Jul 2020,&,Apr 2020 ,&,Nov 2020,&,8,&,,\\
